iter	Passed	Remaining
0	149	148936
1	245	122341
2	341	113403
3	446	111148
4	543	108254
5	635	105301
6	739	104948
7	839	104098
8	932	102728
9	1029	101884
10	1132	101814
11	1220	100520
12	1321	100361
13	1425	100395
14	1538	101004
15	1627	100086
16	1716	99237
17	1815	99055
18	1888	97530
19	1976	96865
20	2072	96606
21	2159	96003
22	2255	95795
23	2347	95446
24	2443	95313
25	2546	95377
26	2639	95129
27	2734	94917
28	2830	94784
29	2922	94501
30	3010	94111
31	3105	93952
32	3194	93608
33	3281	93243
34	3362	92717
35	3459	92637
36	3535	92020
37	3627	91840
38	3717	91603
39	3807	91375
40	3898	91183
41	3975	90685
42	4065	90481
43	4150	90176
44	4237	89923
45	4327	89747
46	4423	89697
47	4493	89116
48	4587	89030
49	4670	88736
50	4754	88475
51	4882	89012
52	4948	88413
53	5045	88384
54	5122	88016
55	5215	87922
56	5300	87690
57	5401	87726
58	5502	87763
59	5592	87616
60	5684	87497
61	5772	87335
62	5849	86998
63	5951	87033
64	6039	86871
65	6142	86932
66	6236	86841
67	6328	86731
68	6410	86488
69	6480	86093
70	6576	86051
71	6648	85686
72	6755	85791
73	6836	85546
74	6926	85430
75	6999	85101
76	7099	85099
77	7182	84899
78	7263	84684
79	7347	84501
80	7438	84396
81	7515	84142
82	7612	84103
83	7700	83976
84	7793	83898
85	7892	83877
86	7983	83780
87	8075	83690
88	8140	83328
89	8220	83120
90	8289	82806
91	8358	82493
92	8432	82242
93	8532	82242
94	8621	82132
95	8689	81829
96	8774	81685
97	8869	81635
98	8933	81305
99	9018	81168
100	9098	80984
101	9194	80944
102	9279	80815
103	9351	80568
104	9443	80496
105	9523	80320
106	9606	80173
107	9684	79988
108	9773	79892
109	9869	79854
110	9943	79635
111	10027	79506
112	10117	79418
113	10203	79301
114	10278	79095
115	10365	78995
116	10437	78770
117	10528	78695
118	10602	78496
119	10680	78321
120	10766	78212
121	10833	77968
122	10920	77866
123	11013	77806
124	11093	77651
125	11168	77472
126	11237	77247
127	11321	77130
128	11410	77044
129	11484	76856
130	11562	76698
131	11631	76484
132	11709	76333
133	11789	76192
134	11864	76023
135	11930	75795
136	12013	75675
137	12090	75519
138	12167	75369
139	12243	75209
140	12315	75031
141	12396	74899
142	12469	74728
143	12536	74522
144	12622	74431
145	12700	74289
146	12782	74172
147	12865	74065
148	12930	73849
149	13008	73713
150	13091	73606
151	13163	73437
152	13233	73260
153	13301	73073
154	13387	72983
155	13462	72837
156	13530	72648
157	13610	72533
158	13679	72354
159	13758	72230
160	13824	72042
161	13890	71855
162	13964	71707
163	14037	71558
164	14111	71413
165	14198	71335
166	14271	71187
167	14338	71009
168	14407	70845
169	14480	70697
170	14556	70570
171	14623	70397
172	14695	70249
173	14771	70121
174	14850	70007
